stationId,usaf,wban,stationName,country,fipsCountry,state,callSign,lat,lon,elevation,begin,end
724049-99999,724049,99999,"SMITH PT/SUNNYBANK",US,US,VA,KW71,37.883,-76.183,1.0,19760130,19770110
724050-13743,724050,13743,"WASHINGTON/NATIONAL",US,US,DC,KDCA,38.848,-77.034,19.8,19290701,20140313
724053-03717,724053,03717,"WINCHESTER RGNL",US,US,VA,KOKV,39.143,-78.144,221.6,20060101,20140313
724053-99999,724053,99999,"WINCHESTER RGNL",US,US,VA,KOKV,39.15,-78.15,222.0,19950101,20051231
724055-03714,724055,03714,"LEESBURG EXECUTIVE",US,US,VA,KJYO,39.078,-77.558,118.6,20060101,20140313
724055-99999,724055,99999,"LEESBURG EXECUTIVE",US,US,VA,KJYO,39.078,-77.558,119.0,19950101,20051231
724056-63805,724056,63805,"MOUNTAIN EMPIRE",US,US,VA,KMKJ,36.895,-81.35,780.0,20060101,20140313
724056-99999,724056,99999,"MOUNTAIN EMPIRE",US,US,VA,KMKJ,36.895,-81.35,780.0,19950423,20051231
724057-13701,724057,13701,"PHILLIPS AAF",US,US,MD,KAPG,39.472,-76.17,17.7,20060103,20140312
724057-99999,724057,99999,"PHILLIPS AAF",US,US,MD,KAPG,39.467,-76.167,17.0,19770701,20051228
724058-53818,724058,53818,"VIRGINIA HIGHLANDS",US,US,VA,KVJI,36.683,-82.033,636.1,20060101,20140313
724058-99999,724058,99999,"VIRGINIA HIGHLANDS",US,US,VA,KVJI,36.683,-82.033,636.0,19840607,20051231
724060-93721,724060,93721,"BALTIMORE-WASHINGTO",US,US,MD,KBWI,39.167,-76.683,47.2,19450101,20140313
724065-93733,724065,93733,"TIPTON",US,US,MD,KFME,39.083,-76.75,46.0,19591113,20140312
724065-99999,724065,99999,"TIPTON",US,US,MD,KFME,39.083,-76.75,46.0,20050519,20140221
724066-93706,724066,93706,"HAGERSTOWN RGNL RIC",US,US,MD,KHGR,39.708,-77.73,214.6,20060101,20140313
724066-99999,724066,99999,"HAGERSTOWN RGNL RIC",US,US,MD,KHGR,39.7,-77.717,215.0,19730122,20051231
724067-93744,724067,93744,"MARTIN STATE",US,US,MD,KMTN,39.333,-76.417,6.7,20060101,20140313
724067-99999,724067,99999,"MARTIN STATE",US,US,MD,KMTN,39.317,-76.4,7.0,19700701,20051231
724068-99999,724068,99999,"BALTIMORE/DC NEXRAD",US,US,VA,KLWX,38.983,-77.483,113.0,,
724069-99999,724069,99999,"STILLPOND (CGS)",US,US,MD,K67W,39.333,-76.1,8.0,19750916,19890803
724070-93730,724070,93730,"ATLANTIC CITY INTL",US,US,NJ,KACY,39.449,-74.567,20.4,19470101,20140313
724073-99999,724073,99999,"VALDOSTA(NEXRAD)",US,US,GA,KVAX,30.883,-83.0,54.0,,
724074-93780,724074,93780,"SOUTH JERSEY RGNL",US,US,NJ,KVAY,39.949,-74.842,16.2,20060101,20140313
724074-99999,724074,99999,"SOUTH JERSEY RGNL",US,US,NJ,KVAY,39.95,-74.85,16.0,19950105,20051231
724075-13735,724075,13735,"MILLVILLE MUNI",US,US,NJ,KMIV,39.367,-75.067,23.2,19730101,20140313
724076-13724,724076,13724,"ATLANTIC CITY (CGS)",US,US,NJ,ATLN,39.379,-74.424,3.4,19750915,19910215
724077-54779,724077,54779,"AEROFLEX ANDOVER",US,US,NJ,K12N,41.009,-74.737,177.7,20060101,20140313
724077-99999,724077,99999,"AEROFLEX ANDOVER",US,US,NJ,K12N,41.017,-74.733,178.0,19990426,20051231
724078-99999,724078,99999,"ST COLLEGE NEXRAD",US,US,PA,KCCX,40.917,-78.0,758.0,,
724079-99999,724079,99999,"PHILA. (NEXRAD)",US,US,NJ,KDIX,39.95,-74.417,70.0,,
724080-13739,724080,13739,"PHILADELPHIA INTL",US,US,PA,KPHL,39.868,-75.231,8.5,19400125,20140313
724083-99999,724083,99999,"DOVER(NEXRAD)",US,US,DE,KDOX,38.833,-75.433,15.0,19820625,19821121
724084-04739,724084,04739,"MONMOUTH EXECUTIVE",US,US,NJ,KBLM,40.183,-74.117,48.0,19830421,19991231
724084-54760,724084,54760,"MONMOUTH EXECUTIVE",US,US,NJ,KBLM,40.183,-74.133,48.5,20060101,20140313
724084-99999,724084,99999,"MONMOUTH EXECUTIVE",US,US,NJ,KBLM,40.183,-74.117,48.0,20000101,20051231
724085-94732,724085,94732,"NORTHEAST PHILADELPH",US,US,PA,KPNE,40.082,-75.011,36.3,19730101,20140313
724085-99999,724085,99999,"NORTHEAST PHILADELPH",US,US,PA,KPNE,40.082,-75.011,37.0,20000101,20031231
724086-14793,724086,14793,"WILLOW GROVE NAS JR",US,US,PA,KNXX,40.2,-75.15,110.3,19730101,20110412
724087-99999,724087,99999,"MANASQUAN INL (CGS)",US,US,NJ,K54N,40.1,-74.017,1.0,19431101,19960409
724088-13707,724088,13707,"DOVER AFB",US,US,DE,KDOV,39.133,-75.467,9.1,19421201,20140313
724088-99999,724088,99999,"DOVER AFB",US,US,DE,KDOV,39.117,-75.467,9.0,20000101,20041231
724089-13781,724089,13781,"WILMINGTON NEW CAST",US,US,DE,KILG,39.673,-75.601,24.4,19420801,20100731
724090-14780,724090,14780,"LAKEHURST (NAES)",US,US,NJ,KNEL,40.033,-74.35,31.4,19730101,20140313
724091-99999,724091,99999,"CENTRAL ILLINOIS/WF",US,US,IL,KILX,40.15,-89.333,200.0,,
724093-13764,724093,13764,"SUSSEX CO",US,US,DE,KGED,38.689,-75.359,15.5,20060101,20140313
724093-99999,724093,99999,"SUSSEX CO",US,US,DE,KGED,38.683,-75.367,15.0,19870202,20051231
